0,1,2,3,4,5,6,7,8,9,10
Aquatics,USA,AUS,CHN,RUS,JPN,NED,FRA,GER,CAN,ITA
Aquatics - all medal dom.,24.82,14.149999999999999,11.21,6.99,6.069999999999999,4.04,3.8600000000000003,3.1199999999999997,2.5700000000000003,2.39
Aquatics,USA,CHN,AUS,NED,RUS,FRA,HUN,ITA,JPN,UKR
Aquatics - gold medal dom.,31.49,17.13,12.15,6.63,6.63,3.31,3.31,2.76,2.76,2.21
Archery,KOR,CHN,ITA,JPN,UKR,USA,AUS,MEX,TPE,FRA
Archery - all medal dom.,37.5,12.5,8.33,6.25,6.25,6.25,4.17,4.17,4.17,2.08
Archery,KOR,ITA,AUS,CHN,UKR,,,,,
Archery - gold medal dom.,68.75,12.5,6.25,6.25,6.25,,,,,
Athletics,USA,RUS,KEN,JAM,ETH,GBR,CUB,GER,UKR,AUS
Athletics - all medal dom.,16.46,11.450000000000001,6.98,6.619999999999999,5.19,3.58,3.4000000000000004,2.86,2.33,2.33
Athletics,USA,RUS,ETH,JAM,KEN,GBR,POL,CUB,BAH,BLR
Athletics - gold medal dom.,17.3,11.35,7.03,6.49,5.95,5.41,3.78,2.7,2.16,2.16
Badminton,CHN,KOR,INA,DEN,GBR,MAS,IND,JPN,NED,RUS
Badminton - all medal dom.,48.33,16.669999999999998,15.0,6.67,3.3300000000000005,3.3300000000000005,1.67,1.67,1.67,1.67
Badminton,CHN,INA,KOR,,,,,,,
Badminton - gold medal dom.,75.0,15.0,10.0,,,,,,,
Baseball,CUB,KOR,USA,AUS,JPN,,,,,
Baseball - all medal dom.,33.33,22.220000000000002,22.220000000000002,11.110000000000001,11.110000000000001,,,,,
Baseball,CUB,KOR,USA,,,,,,,
Baseball - gold medal dom.,33.33,33.33,33.33,,,,,,,
Basketball,USA,AUS,RUS,ARG,ESP,FRA,BRA,ITA,LTU,
Basketball - all medal dom.,33.33,16.669999999999998,12.5,8.33,8.33,8.33,4.17,4.17,4.17,
Basketball,USA,ARG,,,,,,,,
Basketball - gold medal dom.,87.5,12.5,,,,,,,,
Boxing,CUB,RUS,KAZ,UKR,GBR,USA,ITA,THA,CHN,IRL
Boxing - all medal dom.,13.83,11.700000000000001,6.909999999999999,6.38,5.319999999999999,4.79,4.26,4.26,4.26,3.7199999999999998
Boxing,CUB,RUS,GBR,KAZ,CHN,THA,UKR,USA,DOM,FRA
Boxing - gold medal dom.,23.4,17.02,10.64,10.64,6.38,6.38,6.38,4.26,2.13,2.13
Canoe,GER,HUN,SVK,GBR,AUS,FRA,RUS,CAN,ESP,ITA
Canoe - all medal dom.,17.19,11.98,6.77,6.25,5.7299999999999995,5.21,5.21,5.21,4.17,4.17
Canoe,GER,HUN,SVK,FRA,NOR,ITA,GBR,BLR,RUS,AUS
Canoe - gold medal dom.,21.88,18.75,9.38,7.81,6.25,4.69,4.69,3.12,3.12,3.12
Cycling,GBR,GER,AUS,FRA,RUS,USA,NED,ESP,SUI,CHN
Cycling - all medal dom.,15.740000000000002,11.57,11.110000000000001,9.719999999999999,6.4799999999999995,6.02,5.56,5.09,4.17,2.78
Cycling,GBR,FRA,AUS,GER,NED,RUS,ITA,USA,ESP,LAT
Cycling - gold medal dom.,26.39,12.5,11.11,8.33,8.33,5.56,4.17,4.17,4.17,2.78
Equestrian,GER,GBR,NED,USA,AUS,SUI,SWE,BRA,CAN,ESP
Equestrian - all medal dom.,23.61,15.28,15.28,15.28,4.17,4.17,4.17,2.78,2.78,2.78
Equestrian,GER,GBR,NED,USA,AUS,BRA,CAN,FRA,SUI,
Equestrian - gold medal dom.,33.33,16.67,16.67,12.5,4.17,4.17,4.17,4.17,4.17,
Fencing,ITA,FRA,RUS,GER,CHN,USA,KOR,HUN,ROU,UKR
Fencing - all medal dom.,21.67,13.33,10.0,9.17,8.33,7.5,7.5,5.0,3.3300000000000005,3.3300000000000005
Fencing,ITA,FRA,RUS,CHN,HUN,KOR,GER,UKR,USA,ROU
Fencing - gold medal dom.,27.5,15.0,12.5,7.5,7.5,7.5,5.0,5.0,5.0,2.5
Football,BRA,USA,GER,ARG,CAN,CHI,CMR,ESP,ITA,JPN
Football - all medal dom.,16.669999999999998,16.669999999999998,12.5,8.33,4.17,4.17,4.17,4.17,4.17,4.17
Football,USA,ARG,CMR,MEX,NOR,,,,,
Football - gold medal dom.,37.5,25.0,12.5,12.5,12.5,,,,,
Gymnastics,RUS,CHN,USA,ROU,UKR,JPN,CAN,GER,BLR,KOR
Gymnastics - all medal dom.,19.91,18.98,12.04,9.719999999999999,4.17,4.17,3.2399999999999998,3.2399999999999998,2.78,2.78
Gymnastics,CHN,RUS,ROU,USA,HUN,UKR,CAN,JPN,ESP,ITA
Gymnastics - gold medal dom.,27.78,22.22,12.5,9.72,2.78,2.78,2.78,2.78,2.78,1.39
Handball,ESP,NOR,RUS,CRO,DEN,FRA,KOR,SWE,GER,HUN
Handball - all medal dom.,12.5,12.5,12.5,8.33,8.33,8.33,8.33,8.33,4.17,4.17
Handball,DEN,FRA,NOR,CRO,RUS,,,,,
Handball - gold medal dom.,25.0,25.0,25.0,12.5,12.5,,,,,
Hockey,NED,AUS,ARG,GER,CHN,ESP,GBR,KOR,,
Hockey - all medal dom.,29.17,20.830000000000002,16.669999999999998,16.669999999999998,4.17,4.17,4.17,4.17,,
Hockey,GER,NED,AUS,,,,,,,
Hockey - gold medal dom.,37.5,37.5,25.0,,,,,,,
Judo,JPN,CUB,FRA,KOR,CHN,RUS,NED,BRA,GER,ITA
Judo - all medal dom.,14.29,8.93,8.04,6.7,6.7,5.800000000000001,5.36,4.91,4.46,3.1199999999999997
Judo,JPN,CHN,FRA,KOR,CUB,GEO,RUS,ITA,GER,NED
Judo - gold medal dom.,30.36,10.71,7.14,7.14,5.36,5.36,5.36,3.57,3.57,1.79
Modern Pentathlon,GBR,LTU,HUN,RUS,CZE,BLR,BRA,CHN,GER,LAT
Modern Pentathlon - all medal dom.,20.830000000000002,16.669999999999998,12.5,12.5,8.33,4.17,4.17,4.17,4.17,4.17
Modern Pentathlon,RUS,CZE,GBR,GER,HUN,LTU,,,,
Modern Pentathlon - gold medal dom.,37.5,12.5,12.5,12.5,12.5,12.5,,,,
Rowing,GBR,AUS,GER,USA,NZL,ITA,NED,ROU,FRA,CAN
Rowing - all medal dom.,13.100000000000001,10.12,8.93,6.550000000000001,5.949999999999999,5.36,5.36,4.760000000000001,4.760000000000001,4.760000000000001
Rowing,GBR,ROU,NZL,GER,AUS,FRA,POL,USA,DEN,NOR
Rowing - gold medal dom.,16.07,12.5,10.71,10.71,5.36,5.36,5.36,5.36,5.36,3.57
Sailing,GBR,AUS,USA,BRA,ESP,DEN,NED,FRA,ARG,NZL
Sailing - all medal dom.,16.28,8.53,6.2,5.43,5.43,4.65,4.65,4.65,4.65,3.88
Sailing,GBR,AUS,ESP,AUT,USA,BRA,CHN,DEN,NZL,FIN
Sailing - gold medal dom.,23.26,16.28,9.3,6.98,6.98,4.65,4.65,4.65,4.65,2.33
Shooting,CHN,RUS,USA,ITA,KOR,CZE,UKR,GER,AUS,BLR
Shooting - all medal dom.,16.669999999999998,10.94,8.33,6.77,5.7299999999999995,4.17,3.65,3.65,3.1199999999999997,3.1199999999999997
Shooting,CHN,USA,UKR,RUS,KOR,ITA,BUL,GBR,SWE,GER
Shooting - gold medal dom.,21.88,12.5,6.25,6.25,6.25,6.25,4.69,3.12,3.12,3.12
Softball,AUS,JPN,USA,,,,,,,
Softball - all medal dom.,33.33,33.33,33.33,,,,,,,
Softball,USA,JPN,,,,,,,,
Softball - gold medal dom.,66.67,33.33,,,,,,,,
Table Tennis,CHN,KOR,GER,SIN,DEN,FRA,HKG,JPN,PRK,SWE
Table Tennis - all medal dom.,58.330000000000005,14.580000000000002,6.25,6.25,2.08,2.08,2.08,2.08,2.08,2.08
Table Tennis,CHN,KOR,,,,,,,,
Table Tennis - gold medal dom.,93.75,6.25,,,,,,,,
Taekwondo,KOR,USA,CHN,TPE,TUR,MEX,FRA,IRI,CUB,ESP
Taekwondo - all medal dom.,12.5,7.140000000000001,7.140000000000001,7.140000000000001,5.36,5.36,5.36,4.46,4.46,3.5700000000000003
Taekwondo,KOR,CHN,IRI,MEX,TPE,USA,ARG,AUS,CUB,ESP
Taekwondo - gold medal dom.,31.25,15.62,6.25,6.25,6.25,6.25,3.12,3.12,3.12,3.12
Tennis,USA,RUS,CHI,FRA,ESP,CHN,AUS,BLR,GBR,GER
Tennis - all medal dom.,19.61,13.73,7.84,7.84,7.84,3.92,3.92,3.92,3.92,3.92
Tennis,USA,CHI,RUS,BEL,BLR,CAN,CHN,ESP,GBR,SUI
Tennis - gold medal dom.,35.29,11.76,11.76,5.88,5.88,5.88,5.88,5.88,5.88,5.88
Triathlon,AUS,SUI,NZL,CAN,GBR,GER,AUT,CZE,ESP,POR
Triathlon - all medal dom.,20.830000000000002,16.669999999999998,12.5,8.33,8.33,8.33,4.17,4.17,4.17,4.17
Triathlon,SUI,AUS,AUT,CAN,GBR,GER,NZL,,,
Triathlon - gold medal dom.,25.0,12.5,12.5,12.5,12.5,12.5,12.5,,,
Volleyball,BRA,USA,RUS,CHN,ITA,CUB,GER,AUS,ESP,JPN
Volleyball - all medal dom.,31.25,20.830000000000002,12.5,8.33,6.25,4.17,4.17,2.08,2.08,2.08
Volleyball,USA,BRA,AUS,CHN,CUB,GER,RUS,YUG,,
Volleyball - gold medal dom.,37.5,25.0,6.25,6.25,6.25,6.25,6.25,6.25,,
Weightlifting,CHN,RUS,BLR,KAZ,INA,PRK,THA,IRI,TUR,POL
Weightlifting - all medal dom.,17.22,12.78,5.56,5.0,4.44,4.44,3.8899999999999997,3.8899999999999997,3.3300000000000005,3.3300000000000005
Weightlifting,CHN,KAZ,TUR,IRI,PRK,THA,UKR,GRE,BUL,KOR
Weightlifting - gold medal dom.,38.33,8.33,6.67,6.67,6.67,5.0,3.33,3.33,3.33,3.33
Wrestling,RUS,USA,JPN,GEO,AZE,KAZ,CUB,IRI,UKR,BUL
Wrestling - all medal dom.,16.73,8.16,7.76,5.71,5.3100000000000005,4.9,4.49,4.49,4.08,3.27
Wrestling,RUS,JPN,USA,AZE,IRI,CUB,UZB,KOR,GEO,CHN
Wrestling - gold medal dom.,30.0,11.43,8.57,5.71,5.71,5.71,5.71,4.29,2.86,2.86
